method,averageTime,timeSpent,success,fails,cycles,avgAttemptsTaken,CPU_frequency,CPU_percentage,RAM_bytes,RAM_percentage
Machine Learning without Training,0.047061443,2.353072166,0,50,50,1,3701,6.072,4096,0
Machine Learning with Training,0.030356045,1.517802238,0,50,50,1,3701,6.112,4096,0
Backtracking,0.207578254,2.075782537,10,0,10,1,3701,5.98,4096,0
CrossHatching-Random,0.000400376,0.004003763,10,0,10,1,3701,5.98,4096,0
Machine Learning without Training,0.047140527,0.471405268,0,10,10,1,3701,5.98,4096,0
Machine Learning with Training,0.030175853,0.301758528,0,10,10,1,3701,5.9,4096,0
Backtracking,0.321977067,3.21977067,10,0,10,1,3701,5.4,7888896,0
CrossHatching-Random,0.000450373,0.004503727,10,0,10,1,3701,5.4,7888896,0
Machine Learning without Training,0.046990252,0.469902515,0,10,10,1,3701,5.42,7888896,0
Machine Learning with Training,0.029875302,0.298753023,0,10,10,1,3701,5.42,7888896,0
Backtracking,0.144074178,1.440741777,10,0,10,1,3701,4.22,10088448,0.1
CrossHatching-Random,0.000350428,0.003504276,10,0,10,1,3701,4.22,10088448,0.1
Machine Learning without Training,0.046490121,0.464901209,0,10,10,1,3701,4.22,10088448,0.1
Machine Learning with Training,0.029774809,0.297748089,0,10,10,1,3701,4.69,10088448,0.1
Backtracking,0.393988132,3.939881325,10,0,10,1,3701,5.24,5058560,0.1
CrossHatching-Random,0.000500417,0.005004168,10,0,10,1,3701,5.24,5058560,0.1
Machine Learning without Training,0.046991253,0.469912529,0,10,10,1,3701,5.24,5058560,0.1
Machine Learning with Training,0.029424787,0.294247866,0,10,10,1,3701,5.24,5058560,0.1
Backtracking,0.320875549,1.604377747,5,0,5,1,3701,5.24,6340608,0
CrossHatching-Random,0.000500345,0.002501726,5,0,5,1,3701,5.24,6340608,0
Machine Learning without Training,0.046240044,0.231200218,0,5,5,1,3701,5.24,6340608,0
Machine Learning with Training,0.029525089,0.147625446,0,5,5,1,3701,5.24,6340608,0
Backtracking,0.235200787,1.176003933,5,0,5,1,3701,3.76,18739200,0.1
CrossHatching-Random,0.000500107,0.002500534,5,0,5,1,3701,3.76,18739200,0.1
Machine Learning without Training,0.047040558,0.235202789,0,5,5,1,3701,3.76,18739200,0.1
Machine Learning with Training,0.029825211,0.149126053,0,5,5,1,3701,3.76,18739200,0.1
Backtracking,0.169745111,0.848725557,5,0,5,1,3701,3.84,4096,0
CrossHatching-Random,0.000500536,0.00250268,5,0,5,1,3701,3.84,4096,0
Machine Learning without Training,0.047140694,0.235703468,0,5,5,1,3701,3.84,4096,0
Machine Learning with Training,0.029625702,0.14812851,0,5,5,1,3701,3.84,4096,0
Backtracking,0.642452049,3.212260246,5,0,5,1,3701,4.6,987136,0
CrossHatching-Random,0.000500536,0.00250268,5,0,5,1,3701,4.6,987136,0
Machine Learning without Training,0.047240162,0.236200809,0,5,5,1,3701,4.6,987136,0
Machine Learning with Training,0.029925776,0.149628878,0,5,5,1,3701,4.6,987136,0
Backtracking,0.149328661,0.746643305,5,0,5,1,3701,3.1,4096,0
CrossHatching-Random,0.000400066,0.002000332,5,0,5,1,3701,3.1,4096,0
Machine Learning without Training,0.046640062,0.233200312,0,5,5,1,3701,3.7,4096,0
Machine Learning with Training,0.031126499,0.155632496,0,5,5,1,3701,3.7,4096,0
Backtracking,0.14627564,1.462756395,10,0,10,1,3701,3.37,73728,0
Backtracking,0.200570941,2.00570941,10,0,10,1,3701,5.92,10354688,0
CrossHatching-Random,0.000500536,0.00500536,10,0,10,1,3701,5.92,10354688,0
Machine Learning without Training,0.04674046,0.467404604,0,10,10,1,3701,5.92,10354688,0
Machine Learning with Training,0.029625559,0.296255589,0,10,10,1,3701,5.92,10354688,0
Backtracking,0.572492361,2.862461805,5,0,5,1,3701,5.32,5742592,0
CrossHatching-Random,0.000500441,0.002502203,5,0,5,1,3701,5.32,5742592,0
Machine Learning without Training,0.047740698,0.238703489,0,5,5,1,3701,6.16,5742592,0
Machine Learning with Training,0.030225611,0.151128054,0,5,5,1,3701,6.16,5742592,0
Backtracking,0.228496552,2.284965515,10,0,10,1,3701,6.33,0,0
Machine Learning without Training,0.031526971,0.315269709,0,10,10,1,3701,6.34,4096,0
Machine Learning without Training,0.160488272,1.604882717,0,10,10,1,3701,3.84,0,0
Backtracking,0.071511054,0.71511054,10,0,10,1,3701,3.84,10338304,0
Machine Learning without Training,0.039684582,0.396845818,0,10,10,1,3701,4.1,0,0
Backtracking,0.033778763,0.337787628,10,0,10,1,3701,4.1,22999040,0
Backtracking,0.256020021,2.560200214,10,0,10,1,3701,5.02,0,0
Machine Learning without Training,0.029625821,0.296258211,0,10,10,1,3701,5.02,143364096,0.4
Backtracking,0.063704681,0.637046814,10,0,10,1,3701,5.56,0,0
Machine Learning without Training,0.029425263,0.294252634,0,10,10,1,3701,5.6,4096,0
